Unnamed: 0,car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs),price(in lakhs)_Scaled
825,2019 Maruti XL6 Alpha,Sep-19,Third Party insurance,Petrol,6,19123.0,First Owner,Manual,2019,19.01,1462.0,1462.0,1032.0,10.25,-0.04469713126395783
826,2019 Mahindra XUV500 W9 BSIV,Apr-19,Comprehensive,Diesel,7,70767.0,First Owner,Manual,2019,15.1,2179.0,2179.0,15287.0,11.6,-0.04430782662618731
827,2019 Mercedes-Benz E-Class Expression E 200 BSIV,May-19,Zero Dep,Petrol,5,25000.0,First Owner,Automatic,2019,15.0,1991.0,1991.0,1944.0,49.75,-0.03330636593659809
828,2017 Hyundai Creta 1.6 VTVT E Plus,Mar-17,Third Party insurance,Petrol,5,58525.0,First Owner,Manual,2017,15.29,1591.0,1591.0,1213.0,8.5,-0.04520178542403073
829,2016 Maruti Baleno 1.2 Alpha,Jan-17,Comprehensive,Petrol,5,77353.0,First Owner,Manual,2016,21.4,1197.0,1197.0,831.0,5.2,-0.04615341898302534
830,2018 Maruti Baleno 1.2 Zeta,Apr-18,Comprehensive,Petrol,5,59200.0,First Owner,Manual,2018,21.4,1197.0,1197.0,831.0,6.25,-0.045850626486981606
831,2022 Mercedes-Benz GLE 300d,Dec-22,Comprehensive,Diesel,5,25000.0,Second Owner,Automatic,2022,1950.0,24138.0,24138.0,500.0,79.9,-0.024611895693056406
832,2018 Maruti SX4 S Cross Zeta DDiS 200 SH,Apr-18,Comprehensive,Diesel,5,99230.0,First Owner,Manual,2018,25.1,1248.0,1248.0,885.0,6.55,-0.04576411434525482
833,2017 Hyundai i20 1.2 Magna Executive,Apr-17,Comprehensive,Petrol,5,80000.0,First Owner,Manual,2017,18.6,1197.0,1197.0,8183.0,5.25,-0.04613900029273755
834,2018 Maruti Ciaz 1.4 Delta,Apr-18,Comprehensive,Petrol,5,50840.0,First Owner,Manual,2018,20.73,1373.0,1373.0,911.0,6.72,-0.04571509079827631
835,2023 Mercedes-Benz C-Class C 200,Jul-23,Comprehensive,Petrol,5,1000.0,First Owner,Automatic,2023,16.9,1496.0,1496.0,20115.0,59.75,-0.03042262787903866
836,2012 Honda City V AT,2012,Third Party insurance,Petrol,5,150000.0,First Owner,Automatic,2012,15.6,1497.0,1497.0,1163.0,4.5,-0.046355280647054506
837,2017 Maruti Baleno 1.2 Zeta,May-17,Comprehensive,Petrol,5,111142.0,First Owner,Manual,2017,21.4,1197.0,1197.0,831.0,5.01,-0.04620821000611897
838,2014 Mercedes-Benz C-Class 200 K AT,Jul-14,Comprehensive,Petrol,5,133477.0,First Owner,Automatic,2014,11.7,1796.0,1796.0,178.0,8.5,-0.04520178542403073
839,2021 Toyota Fortuner 4X4 Diesel AT,Mar-21,Comprehensive,Diesel,7,23000.0,First Owner,Automatic,2021,2755.0,20115.0,20115.0,500.0,43.0,-0.0352528891254507
840,2018 Maruti SX4 S Cross Zeta DDiS 200 SH,May-18,Comprehensive,Diesel,5,120802.0,First Owner,Manual,2018,25.1,1248.0,1248.0,885.0,5.97,-0.04593137115259327
841,2021 Tata Safari XZA Plus (O) Adventure Edition AT BSVI,Dec-21,Comprehensive,Diesel,7,41000.0,Second Owner,Automatic,2021,14.08,1956.0,1956.0,16767.0,20.0,-0.04188548665783739
842,2015 Toyota Camry Hybrid,2015,Third Party insurance,Petrol,5,50000.0,Second Owner,Automatic,2015,19.16,2494.0,2494.0,1577.0,12.5,-0.04404829020100696
843,2017 Mercedes-Benz C-Class C 220 CDI Avantgarde,Dec-17,Comprehensive,Diesel,5,30000.0,First Owner,Automatic,2017,19.27,2143.0,2143.0,170.0,27.5,-0.03972268311466782
844,2017 Ford Ecosport 1.5 Ti VCT AT Titanium BSIV,Jun-17,Comprehensive,Petrol,5,103030.0,First Owner,Automatic,2017,15.63,1499.0,1499.0,1104.0,6.82,-0.04568625341770072
845,2019 Maruti XL6 Alpha,Sep-19,Third Party insurance,Petrol,6,19123.0,First Owner,Manual,2019,19.01,1462.0,1462.0,1032.0,10.25,-0.04469713126395783
846,2019 Mahindra XUV500 W9 BSIV,Apr-19,Comprehensive,Diesel,7,70767.0,First Owner,Manual,2019,15.1,2179.0,2179.0,15287.0,11.6,-0.04430782662618731
847,2019 Mercedes-Benz E-Class Expression E 200 BSIV,May-19,Zero Dep,Petrol,5,25000.0,First Owner,Automatic,2019,15.0,1991.0,1991.0,1944.0,49.75,-0.03330636593659809
848,2017 Hyundai Creta 1.6 VTVT E Plus,Mar-17,Third Party insurance,Petrol,5,58525.0,First Owner,Manual,2017,15.29,1591.0,1591.0,1213.0,8.5,-0.04520178542403073
849,2016 Maruti Baleno 1.2 Alpha,Jan-17,Comprehensive,Petrol,5,77353.0,First Owner,Manual,2016,21.4,1197.0,1197.0,831.0,5.2,-0.04615341898302534
850,2018 Maruti Baleno 1.2 Zeta,Apr-18,Comprehensive,Petrol,5,59200.0,First Owner,Manual,2018,21.4,1197.0,1197.0,831.0,6.25,-0.045850626486981606
851,2022 Mercedes-Benz GLE 300d,Dec-22,Comprehensive,Diesel,5,25000.0,Second Owner,Automatic,2022,1950.0,24138.0,24138.0,500.0,79.9,-0.024611895693056406
852,2018 Maruti SX4 S Cross Zeta DDiS 200 SH,Apr-18,Comprehensive,Diesel,5,99230.0,First Owner,Manual,2018,25.1,1248.0,1248.0,885.0,6.55,-0.04576411434525482
853,2017 Hyundai i20 1.2 Magna Executive,Apr-17,Comprehensive,Petrol,5,80000.0,First Owner,Manual,2017,18.6,1197.0,1197.0,8183.0,5.25,-0.04613900029273755
854,2018 Maruti Ciaz 1.4 Delta,Apr-18,Comprehensive,Petrol,5,50840.0,First Owner,Manual,2018,20.73,1373.0,1373.0,911.0,6.72,-0.04571509079827631
855,2023 Mercedes-Benz C-Class C 200,Jul-23,Comprehensive,Petrol,5,1000.0,First Owner,Automatic,2023,16.9,1496.0,1496.0,20115.0,59.75,-0.03042262787903866
856,2012 Honda City V AT,2012,Third Party insurance,Petrol,5,150000.0,First Owner,Automatic,2012,15.6,1497.0,1497.0,1163.0,4.5,-0.046355280647054506
857,2017 Maruti Baleno 1.2 Zeta,May-17,Comprehensive,Petrol,5,111142.0,First Owner,Manual,2017,21.4,1197.0,1197.0,831.0,5.01,-0.04620821000611897
858,2014 Mercedes-Benz C-Class 200 K AT,Jul-14,Comprehensive,Petrol,5,133477.0,First Owner,Automatic,2014,11.7,1796.0,1796.0,178.0,8.5,-0.04520178542403073
859,2021 Toyota Fortuner 4X4 Diesel AT,Mar-21,Comprehensive,Diesel,7,23000.0,First Owner,Automatic,2021,2755.0,20115.0,20115.0,500.0,43.0,-0.0352528891254507
860,2018 Maruti SX4 S Cross Zeta DDiS 200 SH,May-18,Comprehensive,Diesel,5,120802.0,First Owner,Manual,2018,25.1,1248.0,1248.0,885.0,5.97,-0.04593137115259327
861,2021 Tata Safari XZA Plus (O) Adventure Edition AT BSVI,Dec-21,Comprehensive,Diesel,7,41000.0,Second Owner,Automatic,2021,14.08,1956.0,1956.0,16767.0,20.0,-0.04188548665783739
862,2015 Toyota Camry Hybrid,2015,Third Party insurance,Petrol,5,50000.0,Second Owner,Automatic,2015,19.16,2494.0,2494.0,1577.0,12.5,-0.04404829020100696
863,2021 Mercedes-Benz S-Class S 350 d,Aug-23,Comprehensive,Diesel,5,7900.0,First Owner,Automatic,2021,13.5,2925.0,2925.0,28161.0,1.5,-0.047220402064322334
864,2019 Maruti Ciaz Alpha AT BSVI,May-19,Comprehensive,Petrol,5,42334.0,First Owner,Automatic,2019,20.04,1462.0,1462.0,10325.0,8.29,-0.04526234392323948
865,2012 Honda City V AT,2012,Third Party insurance,Petrol,5,150000.0,First Owner,Automatic,2012,15.6,1497.0,1497.0,1163.0,4.25,-0.04642737409849349
866,2015 Maruti Swift Dzire VXI,Dec-15,Comprehensive,Petrol,5,98275.0,First Owner,Manual,2015,20.85,1197.0,1197.0,8314.0,3.97,-0.046508118764105155
867,2019 Land Rover Range Rover 3.0 Diesel LWB Vogue,Apr-19,Third Party insurance,Diesel,5,57500.0,Second Owner,Automatic,2019,13.33,2995.0,2995.0,33525.0,1.8,-0.04713388992259555
868,2018 Honda WR-V i-VTEC VX,Dec-18,Third Party insurance,Petrol,5,65000.0,First Owner,Manual,2018,17.5,1199.0,1199.0,887.0,6.85,-0.04567760220352804
869,2018 Hyundai Verna VTVT 1.6 SX,Apr-18,Comprehensive,Petrol,5,52235.0,Second Owner,Manual,2018,17.0,1591.0,1591.0,1213.0,7.45,-0.04550457792007447
870,2015 Honda City i VTEC V,Nov-15,Comprehensive,Petrol,5,50158.0,First Owner,Manual,2015,17.4,1497.0,1497.0,1173.0,6.95,-0.045648764822952444
871,2020 Mercedes-Benz E-Class Exclusive E 220d,Jul-20,Comprehensive,Diesel,5,34000.0,Second Owner,Automatic,2020,16.1,1950.0,1950.0,1917.0,44.9,-0.03470497889451441
872,2017 Nissan Sunny XV CVT,Sep-17,Comprehensive,Petrol,5,69820.0,First Owner,Automatic,2017,17.5,1498.0,1498.0,996.0,5.44,-0.04608420926964392
873,2019 Toyota Innova Crysta 2.8 ZX AT BSIV,Aug-19,Comprehensive,Diesel,7,71000.0,First Owner,Automatic,2019,11.36,2755.0,2755.0,1715.0,20.5,-0.04174129975495942
874,2018 Maruti Ignis 1.2 AMT Alpha BSIV,Sep-18,Comprehensive,Petrol,5,82415.0,First Owner,Automatic,2018,20.89,1197.0,1197.0,8180.0,5.34,-0.04611304665021951
875,2017 Mercedes-Benz GLS 350d 4MATIC,Jul-17,Third Party insurance,Diesel,7,70000.0,Second Owner,Automatic,2017,11.0,2987.0,2987.0,258.0,51.5,-0.03280171177652519
876,2012 Honda City V AT,2012,Third Party insurance,Petrol,5,150000.0,First Owner,Automatic,2012,15.6,1497.0,1497.0,1163.0,4.5,-0.046355280647054506
877,2018 Renault Duster 110PS Diesel RxZ AMT,Oct-18,Comprehensive,Diesel,5,71070.0,First Owner,Automatic,2018,19.6,1461.0,1461.0,10845.0,7.22,-0.04557090389539834
878,2016 Mercedes-Benz B Class B180 Sport,Apr-16,Third Party insurance,Petrol,5,83000.0,First Owner,Automatic,2016,14.8,1595.0,1595.0,12069.0,12.65,-0.04400503413014357
879,2020 Hyundai Venue SX Turbo,Jun-20,Comprehensive,Petrol,5,107834.0,First Owner,Manual,2020,18.27,998.0,998.0,11835.0,7.99,-0.04534885606496626
880,2018 Maruti Baleno Alpha,Oct-18,Comprehensive,Petrol,5,55000.0,First Owner,Manual,2018,21.01,1197.0,1197.0,8180.0,6.75,-0.045706439584103635
881,2017 Mercedes-Benz GLE 400 4MATIC,Oct-17,Comprehensive,Petrol,5,55000.0,First Owner,Automatic,2017,9.7,2996.0,2996.0,32855.0,45.45,-0.03454637330134864
882,2021 Mercedes-Benz S-Class S 350 d,Aug-23,Comprehensive,Diesel,5,7900.0,First Owner,Automatic,2021,13.5,2925.0,2925.0,28161.0,1.5,-0.047220402064322334
883,2019 Maruti Ciaz Alpha AT BSVI,May-19,Comprehensive,Petrol,5,42334.0,First Owner,Automatic,2019,20.04,1462.0,1462.0,10325.0,8.29,-0.04526234392323948
884,2012 Honda City V AT,2012,Third Party insurance,Petrol,5,150000.0,First Owner,Automatic,2012,15.6,1497.0,1497.0,1163.0,4.25,-0.04642737409849349
885,2015 Maruti Swift Dzire VXI,Dec-15,Comprehensive,Petrol,5,98275.0,First Owner,Manual,2015,20.85,1197.0,1197.0,8314.0,3.97,-0.046508118764105155
886,2019 Land Rover Range Rover 3.0 Diesel LWB Vogue,Apr-19,Third Party insurance,Diesel,5,57500.0,Second Owner,Automatic,2019,13.33,2995.0,2995.0,33525.0,1.8,-0.04713388992259555
887,2018 Honda WR-V i-VTEC VX,Dec-18,Third Party insurance,Petrol,5,65000.0,First Owner,Manual,2018,17.5,1199.0,1199.0,887.0,6.85,-0.04567760220352804
888,2018 Hyundai Verna VTVT 1.6 SX,Apr-18,Comprehensive,Petrol,5,52235.0,Second Owner,Manual,2018,17.0,1591.0,1591.0,1213.0,7.45,-0.04550457792007447
889,2015 Honda City i VTEC V,Nov-15,Comprehensive,Petrol,5,50158.0,First Owner,Manual,2015,17.4,1497.0,1497.0,1173.0,6.95,-0.045648764822952444
890,2020 Mercedes-Benz E-Class Exclusive E 220d,Jul-20,Comprehensive,Diesel,5,34000.0,Second Owner,Automatic,2020,16.1,1950.0,1950.0,1917.0,44.9,-0.03470497889451441
891,2017 Nissan Sunny XV CVT,Sep-17,Comprehensive,Petrol,5,69820.0,First Owner,Automatic,2017,17.5,1498.0,1498.0,996.0,5.44,-0.04608420926964392
892,2019 Toyota Innova Crysta 2.8 ZX AT BSIV,Aug-19,Comprehensive,Diesel,7,71000.0,First Owner,Automatic,2019,11.36,2755.0,2755.0,1715.0,20.5,-0.04174129975495942
893,2018 Maruti Ignis 1.2 AMT Alpha BSIV,Sep-18,Comprehensive,Petrol,5,82415.0,First Owner,Automatic,2018,20.89,1197.0,1197.0,8180.0,5.34,-0.04611304665021951
894,2017 Mercedes-Benz GLS 350d 4MATIC,Jul-17,Third Party insurance,Diesel,7,70000.0,Second Owner,Automatic,2017,11.0,2987.0,2987.0,258.0,51.5,-0.03280171177652519
895,2012 Honda City V AT,2012,Third Party insurance,Petrol,5,150000.0,First Owner,Automatic,2012,15.6,1497.0,1497.0,1163.0,4.5,-0.046355280647054506
896,2018 Renault Duster 110PS Diesel RxZ AMT,Oct-18,Comprehensive,Diesel,5,71070.0,First Owner,Automatic,2018,19.6,1461.0,1461.0,10845.0,7.22,-0.04557090389539834
897,2016 Mercedes-Benz B Class B180 Sport,Apr-16,Third Party insurance,Petrol,5,83000.0,First Owner,Automatic,2016,14.8,1595.0,1595.0,12069.0,12.65,-0.04400503413014357
898,2020 Hyundai Venue SX Turbo,Jun-20,Comprehensive,Petrol,5,107834.0,First Owner,Manual,2020,18.27,998.0,998.0,11835.0,7.99,-0.04534885606496626
899,2018 Maruti Baleno Alpha,Oct-18,Comprehensive,Petrol,5,55000.0,First Owner,Manual,2018,21.01,1197.0,1197.0,8180.0,6.75,-0.045706439584103635
900,2017 Mercedes-Benz GLE 400 4MATIC,Oct-17,Comprehensive,Petrol,5,55000.0,First Owner,Automatic,2017,9.7,2996.0,2996.0,32855.0,45.45,-0.03454637330134864
901,2020 Volvo XC60 D5 Inscription,Aug-20,Comprehensive,Diesel,5,25000.0,Second Owner,Automatic,2020,11.2,2400.0,2400.0,215.0,52.0,-0.03265752487364722
902,2014 Maruti Ritz VXi,Jun-15,Comprehensive,Petrol,5,48539.0,Second Owner,Manual,2014,1197.0,8580.0,8580.0,114.0,3.21,-0.04672728285647967
903,2015 Honda City V MT,Sep-15,Comprehensive,Petrol,5,65000.0,First Owner,Manual,2015,16.8,1497.0,1497.0,1163.0,6.25,-0.045850626486981606
904,2014 Hyundai Grand i10 Sportz,May-14,Comprehensive,Petrol,5,86916.0,Second Owner,Manual,2014,18.9,1197.0,1197.0,82.0,3.68,-0.046591747167774374
905,2016 Lexus RX 450h F-Sport,Apr-16,Comprehensive,Petrol,5,11000.0,First Owner,Automatic,2016,18.8,3456.0,3456.0,259.0,66.0,-0.028620291593064014
906,2019 Tata Nexon 1.2 Revotron XZA Plus DualTone,Mar-19,Comprehensive,Petrol,5,108662.0,First Owner,Automatic,2019,17.0,1198.0,1198.0,1085.0,7.12,-0.04559974127597393
907,2012 Honda City V AT,2012,Third Party insurance,Petrol,5,130000.0,First Owner,Automatic,2012,15.6,1497.0,1497.0,1163.0,4.5,-0.046355280647054506
908,2019 BMW M2 Competition,Feb-19,Comprehensive,Petrol,4,29000.0,First Owner,Automatic,2019,10.63,2979.0,2979.0,410.0,71.0,-0.0271784225642843
909,2018 Hyundai Grand i10 1.2 Kappa Asta,Sep-18,Comprehensive,Petrol,5,63307.0,First Owner,Manual,2018,18.9,1197.0,1197.0,8186.0,5.44,-0.04608420926964392
910,2018 Hyundai Tucson 2.0 e-VGT 4WD AT GLS,Nov-18,Comprehensive,Diesel,5,84000.0,First Owner,Automatic,2018,16.38,1995.0,1995.0,18246.0,15.9,-0.043067819261436754
911,2016 Maruti Baleno 1.2 Alpha,Jul-16,Comprehensive,Petrol,5,101927.0,First Owner,Manual,2016,21.4,1197.0,1197.0,831.0,5.14,-0.046170721411370706
912,2017 Mini 3 DOOR John Cooper Works 2019-2020,Nov-17,Comprehensive,Petrol,4,31900.0,Second Owner,Automatic,2017,16.47,1998.0,1998.0,231.0,31.0,-0.03871337479452202
913,2015 Mercedes-Benz E-Class E 200 CGI,Nov-15,Comprehensive,Petrol,5,76000.0,First Owner,Automatic,2015,12.0,1991.0,1991.0,18103.0,23.9,-0.040760828815389206
914,2019 Maruti Ciaz Alpha AT BSVI,Feb-19,Comprehensive,Petrol,5,40775.0,Second Owner,Automatic,2019,20.04,1462.0,1462.0,10325.0,8.14,-0.04530559999410288
915,2020 Mercedes-Benz S-Class S 350 d,Apr-20,Third Party,Diesel,5,18346.0,First Owner,Automatic,2020,13.5,2925.0,2925.0,28161.0,97.0,-0.019680703614629785
916,2021 Mercedes-Benz GLS 400d 4MATIC BSVI,Nov-21,Third Party insurance,Diesel,7,46001.0,First Owner,Automatic,2021,2925.0,3258640000000.0,3258640000000.0,700.0,1.06,-0.04734728653885495
917,2018 Maruti SX4 S Cross Alpha DDiS 200 SH,Feb-19,Comprehensive,Diesel,5,59710.0,First Owner,Manual,2018,25.1,1248.0,1248.0,885.0,7.8,-0.04540364708805989
918,2020 Honda City VX CVT,Mar-20,Comprehensive,Petrol,5,40000.0,First Owner,Automatic,2020,17.4,1497.0,1497.0,1176.0,10.95,-0.04449526959992867
919,2015 Mercedes-Benz M-Class ML 350 4Matic,May-15,Comprehensive,Diesel,5,76000.0,First Owner,Automatic,2015,2987.0,1652243800.0,1652243800.0,510.0,19.99,-0.04188837039589494
920,2020 Volvo XC60 D5 Inscription,Aug-20,Comprehensive,Diesel,5,25000.0,Second Owner,Automatic,2020,11.2,2400.0,2400.0,215.0,52.0,-0.03265752487364722
921,2014 Maruti Ritz VXi,Jun-15,Comprehensive,Petrol,5,48539.0,Second Owner,Manual,2014,1197.0,8580.0,8580.0,114.0,3.21,-0.04672728285647967
922,2015 Honda City V MT,Sep-15,Comprehensive,Petrol,5,65000.0,First Owner,Manual,2015,16.8,1497.0,1497.0,1163.0,6.25,-0.045850626486981606
923,2014 Hyundai Grand i10 Sportz,May-14,Comprehensive,Petrol,5,86916.0,Second Owner,Manual,2014,18.9,1197.0,1197.0,82.0,3.68,-0.046591747167774374
924,2016 Lexus RX 450h F-Sport,Apr-16,Comprehensive,Petrol,5,11000.0,First Owner,Automatic,2016,18.8,3456.0,3456.0,259.0,66.0,-0.028620291593064014
925,2019 Tata Nexon 1.2 Revotron XZA Plus DualTone,Mar-19,Comprehensive,Petrol,5,108662.0,First Owner,Automatic,2019,17.0,1198.0,1198.0,1085.0,7.12,-0.04559974127597393
926,2012 Honda City V AT,2012,Third Party insurance,Petrol,5,130000.0,First Owner,Automatic,2012,15.6,1497.0,1497.0,1163.0,4.5,-0.046355280647054506
927,2019 BMW M2 Competition,Feb-19,Comprehensive,Petrol,4,29000.0,First Owner,Automatic,2019,10.63,2979.0,2979.0,410.0,71.0,-0.0271784225642843
928,2018 Hyundai Grand i10 1.2 Kappa Asta,Sep-18,Comprehensive,Petrol,5,63307.0,First Owner,Manual,2018,18.9,1197.0,1197.0,8186.0,5.44,-0.04608420926964392
929,2018 Hyundai Tucson 2.0 e-VGT 4WD AT GLS,Nov-18,Comprehensive,Diesel,5,84000.0,First Owner,Automatic,2018,16.38,1995.0,1995.0,18246.0,15.9,-0.043067819261436754
930,2016 Maruti Baleno 1.2 Alpha,Jul-16,Comprehensive,Petrol,5,101927.0,First Owner,Manual,2016,21.4,1197.0,1197.0,831.0,5.14,-0.046170721411370706
931,2017 Mini 3 DOOR John Cooper Works 2019-2020,Nov-17,Comprehensive,Petrol,4,31900.0,Second Owner,Automatic,2017,16.47,1998.0,1998.0,231.0,31.0,-0.03871337479452202
932,2015 Mercedes-Benz E-Class E 200 CGI,Nov-15,Comprehensive,Petrol,5,76000.0,First Owner,Automatic,2015,12.0,1991.0,1991.0,18103.0,23.9,-0.040760828815389206
933,2019 Maruti Ciaz Alpha AT BSVI,Feb-19,Comprehensive,Petrol,5,40775.0,Second Owner,Automatic,2019,20.04,1462.0,1462.0,10325.0,8.14,-0.04530559999410288
934,2020 Mercedes-Benz S-Class S 350 d,Apr-20,Third Party,Diesel,5,18346.0,First Owner,Automatic,2020,13.5,2925.0,2925.0,28161.0,97.0,-0.019680703614629785
935,2021 Mercedes-Benz GLS 400d 4MATIC BSVI,Nov-21,Third Party insurance,Diesel,7,46001.0,First Owner,Automatic,2021,2925.0,3258640000000.0,3258640000000.0,700.0,1.06,-0.04734728653885495
936,2018 Maruti SX4 S Cross Alpha DDiS 200 SH,Feb-19,Comprehensive,Diesel,5,59710.0,First Owner,Manual,2018,25.1,1248.0,1248.0,885.0,7.8,-0.04540364708805989
937,2020 Honda City VX CVT,Mar-20,Comprehensive,Petrol,5,40000.0,First Owner,Automatic,2020,17.4,1497.0,1497.0,1176.0,10.95,-0.04449526959992867
938,2015 Mercedes-Benz M-Class ML 350 4Matic,May-15,Comprehensive,Diesel,5,76000.0,First Owner,Automatic,2015,2987.0,1652243800.0,1652243800.0,510.0,19.99,-0.04188837039589494
939,2022 Audi Q7 Technology 2022-2022,Aug-22,Comprehensive,Petrol,7,8000.0,First Owner,Automatic,2022,11.21,2995.0,2995.0,33525.0,87.0,-0.02256444167218921
940,2019 Honda WR-V i-VTEC VX,Apr-19,Comprehensive,Petrol,5,67606.0,First Owner,Manual,2019,17.5,1199.0,1199.0,887.0,6.82,-0.04568625341770072
941,2016 Audi Q3 35 TDI Quattro Premium Plus,Sep-16,Third Party insurance,Diesel,5,72135.0,Second Owner,Automatic,2016,15.73,1968.0,1968.0,17433.0,15.75,-0.043111075332300144
942,2015 Hyundai i20 Asta 1.2,Jul-15,Comprehensive,Petrol,5,96658.0,First Owner,Manual,2015,18.6,1197.0,1197.0,8183.0,5.1,-0.04618225636360094
943,2017 Audi A4 30 TFSI Premium Plus,Nov-17,Zero Dep,Petrol,5,29000.0,First Owner,Automatic,2017,17.84,1395.0,1395.0,14751.0,27.25,-0.039794776566106804
944,2017 Audi Q7 45 TDI Quattro Technology,May-17,Comprehensive,Diesel,7,76000.0,Second Owner,Automatic,2017,14.75,2967.0,2967.0,245.0,45.0,-0.034676141513938816
945,2017 Maruti Ciaz 1.4 AT Alpha,Dec-17,Comprehensive,Petrol,5,26750.0,First Owner,Automatic,2017,19.12,1373.0,1373.0,911.0,8.62,-0.045167180567340016
946,2009 Mercedes-Benz S-Class S 350 L,Mar-09,Not Available,Petrol,5,92762.0,Fifth Owner,Automatic,2009,10.13,3498.0,3498.0,3649.0,8.25,-0.045273878875469714
947,2018 Jaguar XF 2.0 Diesel Portfolio,Jul-18,Comprehensive,Diesel,5,14000.0,First Owner,Automatic,2018,19.33,1999.0,1999.0,177.0,35.5,-0.03741569266862027
948,2018 Nissan Micra Active XV S,Aug-18,Comprehensive,Petrol,5,43293.0,First Owner,Manual,2018,19.49,1198.0,1198.0,6704.0,4.12,-0.04646486269324176
949,2017 Honda City 1.5 V MT Exclusive,Aug-17,Comprehensive,Petrol,5,102786.0,First Owner,Manual,2017,17.0,1497.0,1497.0,1186600.0,5.95,-0.045937138628708386
950,2015 Nissan Micra Active XV S,Dec-15,Comprehensive,Petrol,5,98751.0,First Owner,Manual,2015,19.49,1198.0,1198.0,6704.0,2.98,-0.046793608831803536
951,2017 Jeep Grand Cherokee Summit 4X4,Jul-17,Comprehensive,Diesel,5,53000.0,First Owner,Automatic,2017,12.8,2998.0,2998.0,2396.0,34.9,-0.03758871695207384
952,2017 BMW 3 Series 320d,May-17,Zero Dep,Diesel,5,54776.0,Second Owner,Automatic,2017,22.69,1995.0,1995.0,190.0,18.9,-0.04220269784416893
953,2018 Maruti Ciaz 1.3 Alpha,Jun-18,Comprehensive,Diesel,5,59870.0,First Owner,Manual,2018,28.09,1248.0,1248.0,885.0,7.27,-0.04555648520511054
954,2013 Hyundai Grand i10 1.2 Kappa Magna BSIV,Sep-13,Comprehensive,Petrol,5,50000.0,Second Owner,Manual,2013,18.9,1197.0,1197.0,8186.0,3.95,-0.04651388624022028
955,2021 Mercedes-Benz G G 350d,Apr-21,Comprehensive,Diesel,5,38000.0,First Owner,Automatic,2021,8.13,2925.0,2925.0,28161.0,2.45,-0.04694644694885419
956,2013 Maruti Ritz VXi,Jan-14,Comprehensive,Petrol,5,80330.0,First Owner,Manual,2013,1197.0,8580.0,8580.0,114.0,2.93,-0.04680802752209133
957,2015 Honda City V MT,Nov-15,Third Party insurance,Petrol,5,94000.0,First Owner,Manual,2015,16.8,1497.0,1497.0,1163.0,6.25,-0.045850626486981606
958,2018 Land Rover Discovery Sport TD4 SE,Nov-18,Zero Dep,Diesel,7,37800.0,First Owner,Automatic,2018,12.83,1999.0,1999.0,14831.0,37.9,-0.03672359553480601
959,2022 Audi Q7 Technology 2022-2022,Aug-22,Comprehensive,Petrol,7,8000.0,First Owner,Automatic,2022,11.21,2995.0,2995.0,33525.0,87.0,-0.02256444167218921
960,2019 Honda WR-V i-VTEC VX,Apr-19,Comprehensive,Petrol,5,67606.0,First Owner,Manual,2019,17.5,1199.0,1199.0,887.0,6.82,-0.04568625341770072
961,2016 Audi Q3 35 TDI Quattro Premium Plus,Sep-16,Third Party insurance,Diesel,5,72135.0,Second Owner,Automatic,2016,15.73,1968.0,1968.0,17433.0,15.75,-0.043111075332300144
962,2015 Hyundai i20 Asta 1.2,Jul-15,Comprehensive,Petrol,5,96658.0,First Owner,Manual,2015,18.6,1197.0,1197.0,8183.0,5.1,-0.04618225636360094
963,2017 Audi A4 30 TFSI Premium Plus,Nov-17,Zero Dep,Petrol,5,29000.0,First Owner,Automatic,2017,17.84,1395.0,1395.0,14751.0,27.25,-0.039794776566106804
964,2017 Audi Q7 45 TDI Quattro Technology,May-17,Comprehensive,Diesel,7,76000.0,Second Owner,Automatic,2017,14.75,2967.0,2967.0,245.0,45.0,-0.034676141513938816
965,2017 Maruti Ciaz 1.4 AT Alpha,Dec-17,Comprehensive,Petrol,5,26750.0,First Owner,Automatic,2017,19.12,1373.0,1373.0,911.0,8.62,-0.045167180567340016
966,2009 Mercedes-Benz S-Class S 350 L,Mar-09,Not Available,Petrol,5,92762.0,Fifth Owner,Automatic,2009,10.13,3498.0,3498.0,3649.0,8.25,-0.045273878875469714
967,2018 Jaguar XF 2.0 Diesel Portfolio,Jul-18,Comprehensive,Diesel,5,14000.0,First Owner,Automatic,2018,19.33,1999.0,1999.0,177.0,35.5,-0.03741569266862027
968,2018 Nissan Micra Active XV S,Aug-18,Comprehensive,Petrol,5,43293.0,First Owner,Manual,2018,19.49,1198.0,1198.0,6704.0,4.12,-0.04646486269324176
969,2017 Honda City 1.5 V MT Exclusive,Aug-17,Comprehensive,Petrol,5,102786.0,First Owner,Manual,2017,17.0,1497.0,1497.0,1186600.0,5.95,-0.045937138628708386
970,2015 Nissan Micra Active XV S,Dec-15,Comprehensive,Petrol,5,98751.0,First Owner,Manual,2015,19.49,1198.0,1198.0,6704.0,2.98,-0.046793608831803536
971,2017 Jeep Grand Cherokee Summit 4X4,Jul-17,Comprehensive,Diesel,5,53000.0,First Owner,Automatic,2017,12.8,2998.0,2998.0,2396.0,34.9,-0.03758871695207384
972,2017 BMW 3 Series 320d,May-17,Zero Dep,Diesel,5,54776.0,Second Owner,Automatic,2017,22.69,1995.0,1995.0,190.0,18.9,-0.04220269784416893
